-X--OXOXO,0.5,0.54,0.5,0.5,0.53,0.56,0.54,0.51,0.55
--OO--X-X,0.57,0.52,0.56,0.52,0.56,0.5,0.51,0.57,0.54
XX-O---XO,0.54,0.57,0.5,0.58,0.4925005624493796,0.54,0.54,0.51,0.59
--OXOOX-X,0.56,0.5,0.52,0.51,0.57,0.55,0.5,0.52,0.56
XXO-OOXX-,0.59,0.53,0.55,0.56,0.52,0.56,0.57,0.5,0.57
OO-OXXXXO,0.56,0.52,0.5,0.55,0.54,0.57,0.57,0.57,0.58
XOO----XX,0.57,0.51,0.54,0.53,0.57,0.51,0.48001065984441826,0.52,0.51
-OO-XXXXO,0.5,0.57,0.5,0.4925005624493796,0.5,0.55,0.54,0.52,0.52
X-XOOXX-O,0.5,0.5,0.54,0.56,0.51,0.55,0.54,0.57,0.55
XX-XOO-XO,0.59,0.5,0.53,0.54,0.52,0.57,0.55,0.51,0.56
---X-XO--,0.56,0.59,0.52,0.55,0.53,0.57,0.57,0.55,0.5
-XO--OX-X,0.5,0.59,0.5,0.54,0.59,0.55,0.5,0.51,0.56
--OOXX-XO,0.5,0.53,0.5,0.55,0.55,0.59,0.5,0.55,0.58
--XX-OXOO,0.5,0.5,0.59,0.58,0.5,0.54,0.59,0.51,0.57
OXX-X-O--,0.57,0.56,0.51,0.55,0.58,0.59,0.56,0.54,0.56
-XX-O-O--,0.52,0.58,0.59,0.57,0.53,0.57,0.58,0.58,0.53
XOOX-X---,0.5,0.52,0.56,0.59,0.5,0.52,0.5,0.4850044983805899,0.5
----XOO-X,0.5,0.4850044983805899,0.5,0.5,0.54,0.52,0.51,0.5,0.56
XO-X--OOX,0.51,0.55,0.52,0.56,0.5,0.56,0.53,0.54,0.59
-X--OXOX-,0.59,0.54,0.59,0.5,0.58,0.57,0.52,0.55,0.5
OXOX-XOOX,0.52,0.55,0.53,0.54,0.5,0.54,0.51,0.54,0.52
XOO----X-,0.56,0.57,0.56,0.55,0.5,0.58,0.58,0.53,0.5
XXOOOX-OX,0.57,0.51,0.56,0.51,0.58,0.51,0.59,0.58,0.52
-X-X-O--O,0.55,0.57,0.52,0.57,0.56,0.52,0.53,0.53,0.56
O-XXOX-O-,0.51,0.59,0.53,0.58,0.56,0.58,0.52,0.5,0.55
OO-OXXXX-,0.51,0.54,0.56,0.53,0.5,0.5,0.5,0.57,0.56
OXXXOOOX-,0.57,0.59,0.5,0.53,0.53,0.53,0.54,0.55,0.5
-XO--OX--,0.59,0.54,0.56,0.52,0.58,0.5,0.5,0.51,0.54
-XO-X-XOO,0.5,0.51,0.59,0.5,0.57,0.52,0.51,0.55,0.55
OX-OX-XO-,0.58,0.59,0.58,0.55,0.56,0.59,0.54,0.52,0.51
