-X--OXOXO,0.5,0.52,0.5,0.5,0.52,0.52,0.55,0.59,0.51
OX-OX-XOO,0.53,0.51,0.5,0.59,0.52,0.4950001666600003,0.54,0.58,0.57
--OO--X-X,0.59,0.5,0.5,0.52,0.54,0.5,0.52,0.5,0.58
OX-O-OX--,0.59,0.59,0.54,0.5,0.53,0.51,0.51,0.55,0.51
XOO----XO,0.53,0.53,0.59,0.59,0.52,0.58,0.54,0.55,0.53
-OXOO-X--,0.55,0.55,0.56,0.51,0.53,0.54,0.57,0.54,0.59
XXOOOX-O-,0.57,0.56,0.55,0.54,0.58,0.58,0.59,0.59,0.51
--OXOOX-X,0.57,0.55,0.55,0.56,0.55,0.53,0.51,0.51,0.56
-O-OOXXXO,0.5,0.59,0.5,0.57,0.56,0.53,0.57,0.54,0.57
OO-OXXXXO,0.5,0.53,0.5,0.52,0.59,0.54,0.58,0.55,0.58
OXOX-XOO-,0.55,0.55,0.56,0.51,0.52,0.5,0.57,0.54,0.4925005624493796
-OX-XOOXO,0.5,0.5,0.53,0.5,0.58,0.5,0.51,0.58,0.54
X-OOO-XXO,0.58,0.5,0.56,0.5,0.58,0.5,0.57,0.55,0.55
XXO--OOOX,0.5,0.52,0.56,0.57,0.52,0.51,0.53,0.51,0.51
---O-O-X-,0.55,0.51,0.57,0.55,0.5,0.5,0.5,0.57,0.5
--OOXX-XO,0.52,0.53,0.56,0.58,0.51,0.57,0.5,0.52,0.58
--XX-OXOO,0.5,0.5,0.51,0.55,0.5,0.55,0.51,0.5,0.54
-XX-O-O--,0.58,0.53,0.55,0.5,0.53,0.4925005624493796,0.57,0.54,0.55
----XOO-X,0.5,0.5,0.5,0.5,0.56,0.53,0.59,0.5,0.54
OXO-OX---,0.5,0.59,0.52,0.54,0.57,0.58,0.51,0.5,0.5
OXO-XO-OX,0.55,0.53,0.51,0.5,0.57,0.56,0.5,0.57,0.59
XO-X--OOX,0.56,0.53,0.4850044983805899,0.56,0.55,0.51,0.52,0.54,0.5
OXOX-XOOX,0.56,0.52,0.58,0.5,0.5,0.5,0.57,0.58,0.55
XOO----X-,0.59,0.55,0.5,0.49750002083312506,0.54,0.58,0.51,0.58,0.59
X-X-OO-O-,0.53,0.57,0.59,0.59,0.5,0.59,0.58,0.54,0.51
-X-X-O--O,0.4875026035157896,0.51,0.51,0.59,0.54,0.57,0.53,0.52,0.59
XXOOOX-OX,0.58,0.55,0.57,0.56,0.57,0.59,0.5,0.55,0.59
O-XXOX-O-,0.57,0.51,0.51,0.5,0.54,0.59,0.5,0.57,0.58
OXXXOOOX-,0.59,0.56,0.52,0.51,0.53,0.51,0.55,0.55,0.5
-XO--OX--,0.52,0.55,0.5,0.5,0.51,0.54,0.5,0.58,0.5
-XO-X-XOO,0.5,0.57,0.57,0.5,0.5,0.56,0.58,0.52,0.52
XO--O----,0.52,0.51,0.55,0.51,0.56,0.53,0.59,0.54,0.5
OX-OX-XO-,0.55,0.51,0.59,0.58,0.56,0.59,0.5,0.53,0.57
----XO---,0.59,0.53,0.56,0.54,0.52,0.52,0.5,0.5,0.5
-X-OO-XOX,0.53,0.51,0.5,0.5,0.51,0.5,0.57,0.58,0.53
OO-X-O--X,0.53,0.51,0.5,0.54,0.52,0.53,0.53,0.52,0.59
XOOX-X--O,0.54,0.55,0.57,0.55,0.54,0.5,0.59,0.53,0.52
-OX-XOOX-,0.52,0.51,0.53,0.52,0.58,0.57,0.54,0.53,0.59
X--OXXO-O,0.53,0.51,0.56,0.52,0.58,0.57,0.52,0.51,0.56
-O-X--X-O,0.54,0.54,0.56,0.56,0.5,0.52,0.52,0.55,0.52
OO-XX--OX,0.59,0.58,0.55,0.55,0.57,0.55,0.53,0.53,0.58
O-OXXOX--,0.55,0.56,0.56,0.55,0.55,0.54,0.5,0.52,0.52
