--OO--X-X,0.7,0.6,0.6,0.6,0.5,0.5,0.7,0.5,0.6
XX-O---XO,0.5,0.52,0.51,0.52,0.54,0.51,0.5,0.54,0.53
--OXOOX-X,0.52,0.51,0.53,0.5,0.53,0.52,0.51,0.53,0.5
XXO-OOXX-,2.5,2.5,1.5,1.0,2.0,1.0,0.5,2.5,1.5
OO-OXXXXO,2.0,1.5,1.5,1.5,1.5,2.0,1.5,1.0,1.0
XOO----XX,0.54,0.52,0.51,0.5,0.52,0.5,0.53,0.51,0.51
X-XOOXX-O,0.53,0.54,0.52,0.5,0.53,0.53,0.51,0.5,0.52
XX-XOO-XO,2.0,1.5,2.5,1.0,2.0,1.5,2.5,2.0,2.5
---X-XO--,0.5,1.0,1.5,2.0,1.0,2.5,2.0,1.5,2.0
-XO--OX-X,0.51,0.52,0.5,0.54,0.53,0.54,0.53,0.51,0.5
OXX-X-O--,2.0,0.5,0.5,1.5,2.0,1.0,2.5,0.5,1.0
-XX-O-O--,2.5,0.5,1.5,2.5,1.5,1.0,0.5,1.0,1.0
XOOX-X---,2.0,1.0,2.5,2.5,1.0,0.5,1.0,1.0,2.0
XO-X--OOX,0.51,0.51,0.54,0.54,0.53,0.53,0.54,0.52,0.53
-X--OXOX-,0.51,0.5,0.53,0.5,0.54,0.5,0.52,0.53,0.54
OXOX-XOOX,0.6,0.7,0.5,0.9,0.5,0.7,0.6,0.6,0.8
XOO----X-,2.5,1.5,1.0,1.0,0.5,1.5,0.5,2.5,2.5
XXOOOX-OX,1.5,2.0,1.5,1.0,2.5,2.0,1.5,1.5,2.0
-X-X-O--O,0.5,0.51,0.51,0.53,0.52,0.54,0.5,0.52,0.54
O-XXOX-O-,2.0,2.5,1.0,1.5,2.5,1.0,2.0,1.0,2.5
OO-OXXXX-,0.51,0.53,0.52,0.53,0.52,0.51,0.54,0.54,0.51
OXXXOOOX-,1.5,2.5,1.5,0.5,0.5,2.5,2.5,1.0,2.0
-XO--OX--,0.7,0.8,0.8,0.8,0.5,0.9,0.7,0.5,0.9
OX-OX-XO-,0.54,0.54,0.53,0.52,0.5,0.5,0.52,0.54,0.53
----XO---,1.5,2.0,2.0,1.5,1.5,1.5,1.5,0.5,0.5
XX-O--XO-,0.7,0.6,0.8,0.9,0.7,0.6,0.7,0.7,0.9
-X-OO-XOX,0.5,0.5,0.5,0.54,0.53,0.53,0.53,0.5,0.53
XOOX-X--O,2.0,2.5,1.5,2.0,1.5,1.5,0.5,0.5,2.5
-OX-XOOX-,2.0,2.5,2.0,1.0,2.0,2.0,2.5,1.0,1.5
-O-X--X-O,0.5,0.5,0.9,0.8,0.9,0.8,0.9,0.8,0.8
--OOXX-X-,0.51,0.5,0.5,0.5,0.52,0.51,0.5,0.51,0.51
OO-XX--OX,0.9,0.7,0.7,0.6,0.8,0.8,0.8,0.7,0.7
O-OXXOX--,0.53,0.51,0.52,0.5,0.54,0.52,0.54,0.54,0.52
X-OOO-XX-,1.0,1.5,0.5,1.0,1.0,1.0,2.5,2.0,1.0
XO-X---OX,0.53,0.5,0.5,0.5,0.51,0.51,0.51,0.51,0.51
OXOXX-O--,0.5,1.0,2.0,1.0,2.0,2.5,2.0,1.0,2.5
X-X--OX-O,0.53,0.52,0.52,0.53,0.52,0.52,0.5,0.51,0.54
X-X-OO-OX,0.54,0.53,0.54,0.5,0.52,0.5,0.53,0.54,0.52
---O-O-XX,0.9,0.7,0.6,0.6,0.8,0.9,0.6,0.7,0.7
O-X---XXO,0.8,0.9,0.5,0.7,0.5,0.5,0.5,0.9,0.7
XX---X-OO,0.5,0.52,0.5,0.52,0.52,0.5,0.51,0.52,0.51
XOOX-XO-X,0.7,0.6,0.7,0.7,0.8,0.9,0.7,0.9,0.5
OXOOXXX-O,1.0,0.5,2.5,1.0,1.5,1.5,1.0,2.5,2.0
O-XO-OXX-,1.5,1.0,2.5,1.5,0.5,2.5,0.5,0.5,1.0
OXX--X-O-,0.6,0.9,0.8,0.8,0.8,0.8,0.7,0.7,0.9
-OOXXOOXX,0.7,0.7,0.6,0.8,0.6,0.7,0.5,0.5,0.9
X--OXXO--,0.5,2.0,2.5,1.5,2.5,0.5,2.0,0.5,2.0
X-O-OXXO-,0.51,0.51,0.5,0.51,0.54,0.53,0.54,0.54,0.51
XOXO--X--,1.5,2.5,2.0,2.0,1.0,1.5,1.5,1.5,0.5
OXOOXXX--,2.0,1.5,1.0,0.5,1.0,2.0,1.0,0.5,2.5
-O-OOXXX-,0.53,0.52,0.54,0.52,0.5,0.53,0.51,0.54,0.51
XO--O---X,0.9,0.8,0.7,0.7,0.6,0.8,0.6,0.8,0.5
OXX--X-OO,1.5,1.5,1.0,2.5,0.5,1.0,1.0,1.5,0.5
-OXXX---O,0.9,0.7,0.6,0.6,0.9,0.7,0.6,0.7,0.7
OX-OX-XOX,0.5,2.5,1.5,1.5,0.5,1.5,1.5,2.5,0.5
XO-X---O-,0.7,0.9,0.7,0.7,0.7,0.9,0.6,0.9,0.6
OXXX-OX-O,2.0,0.5,2.5,1.0,2.0,2.0,0.5,1.0,0.5
XX-O--OX-,0.9,0.7,0.5,0.9,0.6,0.8,0.5,0.5,0.6
OXOX-X-OX,0.6,0.9,0.5,0.8,0.9,0.7,0.9,0.6,0.9
OX----X-O,0.5,0.6,0.7,0.6,0.5,0.8,0.6,0.8,0.9
OXXO---X-,1.0,2.0,1.0,2.0,0.5,1.0,2.5,1.5,0.5
OXXXOO-X-,0.5,0.52,0.51,0.5,0.51,0.51,0.53,0.53,0.51
-------X-,2.5,2.5,1.0,1.5,2.0,1.5,1.5,1.5,2.5
XOX--XO-O,0.53,0.52,0.53,0.5,0.54,0.54,0.54,0.5,0.54
-XOXO----,2.0,2.5,2.0,0.5,2.0,2.0,1.5,2.0,2.5
OO-XX-OX-,2.5,2.0,1.5,2.0,1.0,2.5,1.0,2.5,2.0
O--O-X--X,0.9,0.7,0.5,0.8,0.6,0.5,0.8,0.9,0.5
OOX-XX--O,0.6,0.8,0.6,0.9,0.8,0.6,0.7,0.6,0.9
O-OX--XXO,0.5,0.53,0.53,0.5,0.52,0.51,0.53,0.51,0.54
OOXXO-XX-,0.5,0.5,1.0,1.5,2.5,1.0,2.0,1.5,1.0
-OXXX-O-O,0.6,0.5,0.6,0.7,0.7,0.8,0.8,0.6,0.9
OXX-X---O,2.0,0.5,1.5,1.5,1.5,2.0,1.0,2.0,0.5
XX-O--OXO,2.0,2.0,1.0,2.0,0.5,2.0,1.0,1.0,2.5
-X--OX-XO,0.53,0.53,0.53,0.54,0.51,0.52,0.51,0.5,0.51
XOO---XOX,0.7,0.9,0.9,0.5,0.5,0.7,0.7,0.5,0.9
-X-X-OO--,0.7,0.9,0.8,0.6,0.5,0.8,0.7,0.7,0.8
XOXOXX-OO,0.5,0.6,0.5,0.5,0.7,0.7,0.9,0.5,0.7
-XOOOXX--,0.8,0.5,0.6,0.6,0.5,0.5,0.6,0.9,0.7
OXXO---XO,0.5,2.0,2.5,0.5,1.0,2.5,1.5,0.5,1.5
OXXOXO--X,2.0,2.5,1.0,0.5,1.5,1.0,1.5,2.0,2.0
XXO--O-OX,0.51,0.5,0.5,0.5,0.52,0.5,0.52,0.52,0.53
--O--XX--,0.6,0.6,0.8,0.7,0.9,0.6,0.5,0.5,0.9
XOOX-XO--,0.7,0.6,0.7,0.8,0.5,0.6,0.6,0.8,0.5
-OX-OX---,0.54,0.5,0.5,0.53,0.5,0.53,0.51,0.54,0.53
-OX-XO-XO,1.5,2.5,2.5,2.0,1.5,0.5,2.5,1.0,2.5
OO--OX-XX,0.52,0.54,0.5,0.53,0.5,0.51,0.54,0.53,0.53
-X-XX-OO-,0.9,0.8,0.9,0.9,0.8,0.7,0.5,0.8,0.8
O-OX--XX-,1.5,1.0,2.5,1.5,1.5,0.5,2.0,2.5,0.5
------OXX,2.0,2.5,1.5,1.0,1.0,0.5,1.5,1.5,1.0
-X-X-O---,0.5,1.5,1.0,2.0,1.5,0.5,0.5,1.5,0.5
--O--XX-O,1.5,0.5,1.5,2.5,0.5,2.0,0.5,2.5,2.5
XOXOXX-O-,0.7,0.7,0.7,0.5,0.6,0.6,0.6,0.6,0.7
OX--XX-O-,0.5,0.9,0.8,0.8,0.8,0.5,0.8,0.5,0.5
XOXXOO--X,0.8,0.5,0.9,0.7,0.6,0.6,0.7,0.9,0.6
-XXX--OO-,0.51,0.51,0.52,0.54,0.54,0.53,0.53,0.5,0.52
XO-O-XXOX,0.7,0.6,0.5,0.7,0.7,0.8,0.5,0.6,0.9
XX---XOO-,0.5,1.5,1.0,1.0,1.0,1.5,1.0,1.5,1.0
-XOXO---X,0.6,0.8,0.9,0.5,0.7,0.9,0.7,0.8,0.6
X--OXX--O,0.53,0.51,0.51,0.51,0.52,0.51,0.53,0.5,0.52
-OX-XO-X-,0.5,0.5,0.5,0.51,0.53,0.53,0.5,0.5,0.52
--XOOX---,1.5,1.0,1.0,1.0,1.0,1.0,1.5,0.5,0.5
-O-X--X--,0.9,0.5,0.7,0.8,0.5,0.9,0.6,0.9,0.8
X--XOXOXO,1.5,1.0,2.5,1.5,1.0,1.5,2.0,2.0,2.5
OXXO--XO-,0.7,0.8,0.7,0.6,0.7,0.7,0.8,0.8,0.8
O---X-XXO,0.53,0.5,0.53,0.54,0.53,0.5,0.53,0.53,0.52
OXXOXO---,2.5,1.5,0.5,2.0,2.0,2.5,2.0,2.5,1.0
XXOO-XX-O,0.54,0.51,0.52,0.53,0.52,0.5,0.5,0.5,0.54
OO-XX-OXX,0.9,0.5,0.6,0.7,0.5,0.6,0.7,0.8,0.7
OXXOO-XX-,2.5,1.0,1.0,1.5,0.5,2.5,0.5,2.5,1.0
------OX-,1.0,2.0,0.5,2.0,2.0,2.0,2.0,2.0,0.5
XOX--X--O,2.5,1.0,2.0,0.5,0.5,2.5,0.5,2.0,2.0
OX--XX-OO,0.53,0.51,0.52,0.54,0.52,0.5,0.51,0.54,0.52
-O---OXX-,0.7,0.7,0.6,0.9,0.7,0.9,0.7,0.6,0.5
OXOX-X-O-,1.5,0.5,2.5,2.5,0.5,1.5,1.0,1.5,1.5
-X-X-OO-X,0.5,0.54,0.5,0.5,0.54,0.51,0.54,0.53,0.51
-X--OXXO-,0.53,0.53,0.5,0.54,0.54,0.52,0.53,0.54,0.52
OX----X--,2.0,1.0,2.5,1.0,2.0,2.0,1.0,2.5,2.5
-OXXX-O--,2.5,2.0,1.5,2.5,0.5,1.5,1.0,1.5,0.5
OX-O-OX-X,1.5,1.0,1.5,2.5,0.5,1.5,1.5,1.0,1.5
--XX-OXO-,0.7,0.5,0.7,0.6,0.5,0.5,0.8,0.7,0.5
XO-O-XXO-,0.53,0.54,0.53,0.51,0.53,0.52,0.5,0.51,0.53
OXX-X-O-O,0.53,0.5,0.52,0.53,0.5,0.51,0.51,0.51,0.5
--O--XO-X,0.54,0.51,0.51,0.53,0.54,0.52,0.53,0.53,0.5
X-OX-O--X,0.8,0.8,0.8,0.9,0.6,0.7,0.7,0.9,0.6
